(639,673)	(135,482)	(119,681)	(659,792)	(193,592)	
(236,297)	(226,915)	(314,739)	(138,802)	(956,878)	
(800,924)	(495,722)	(706,593)	(753,254)	(471,448)	
(127,374)	(1064,939)	(203,501)	(670,207)	(450,1019)	
(645,880)	(325,393)	(450,557)	(429,291)	(273,688)	
(605,228)	(1067,473)	(947,856)	(381,291)	(287,606)	
(756,486)	(1095,854)	(328,471)	(746,978)	(206,629)	
(563,182)	(651,949)	(809,148)	(829,705)	(429,292)	
(660,468)	(555,186)	(1049,353)	(661,434)	(958,212)	
(292,416)	(447,369)	(568,947)	(295,405)	(778,521)	
(1094,642)	(640,321)	(673,222)	(697,661)	(658,357)	
(273,751)	(858,422)	(231,829)	(1005,524)	(878,160)	
(284,310)	(105,169)	(112,1050)	(794,173)	(758,861)	
(204,147)	(942,773)	(519,267)	(641,179)	(117,738)	
(1082,811)	(427,235)	(124,206)	(249,880)	(196,1082)	
(342,529)	(368,216)	(414,923)	(400,471)	(453,149)	
(132,871)	(280,1048)	(975,616)	(1082,181)	(642,676)	
(1084,755)	(1020,266)	(1089,337)	(872,532)	(505,465)	
(736,420)	(532,525)	(145,850)	(1026,446)	(1038,1017)	
(496,443)	(602,987)	(382,751)	(656,898)	(407,406)	
(461,1089)	(736,337)	(936,682)	(196,672)	(449,257)	
(319,1048)	(280,528)	(434,157)	(711,508)	(639,378)	
(531,296)	(845,182)	(206,905)	(238,729)	(297,875)	
(615,615)	(577,474)	(791,908)	(143,923)	(188,881)	
(660,451)	(130,342)	(260,231)	(230,761)	(394,1006)	
(299,766)	(925,357)	(458,519)	(218,610)	(463,861)	
(754,403)	(1025,736)	(1094,103)	(858,603)	(960,148)	
(241,860)	(707,707)	(964,627)	(957,186)	(145,856)	
(147,609)	(175,530)	(582,774)	(496,629)	(534,460)	
(1026,132)	(964,474)	(463,256)	(580,232)	(433,431)	
(1019,119)	(266,528)	(485,226)	(499,126)	(426,879)	
(139,595)	(153,1027)	(787,535)	(942,725)	(623,945)	
(280,873)	(551,701)	(102,840)	(487,615)	(300,797)	
(828,807)	(800,428)	(680,366)	(1050,1030)	(1000,704)	
(267,168)	(372,546)	(221,421)	(542,749)	(219,449)	
(1007,691)	(514,871)	(710,905)	(729,157)	(930,583)	
(677,719)	(778,788)	(792,497)	(635,109)	(923,521)	
(619,328)	(697,436)	(1043,371)	(389,703)	(970,1083)	
(943,553)	(783,114)	(916,768)	(367,648)	(644,609)	
(592,181)	(1063,596)	(837,838)	(794,583)	(1019,214)	
(783,850)	(859,679)	(635,738)	(1090,225)	(323,466)	
(181,786)	(953,479)	(592,951)	(396,323)	(433,1081)	
(727,516)	(1009,228)	(739,782)	(211,1060)	(918,310)	
(992,1000)	(238,616)	(113,308)	(921,356)	(415,1050)	
(919,284)	(176,1049)	(634,498)	(811,265)	(1028,207)	
(245,925)	(170,495)	(220,793)	(912,307)	(461,734)	
(357,599)	(145,740)	(824,637)	(358,176)	(99,1009)	
(659,815)	(231,415)	(611,473)	(449,946)	(1085,609)	
(579,382)	(723,1075)	(710,528)	(771,207)	(254,421)	
(499,246)	(542,968)	(648,1034)	(774,176)	(456,347)	
(1098,713)	(501,743)	(1013,1097)	(421,529)	(870,527)	
(1033,558)	(978,951)	(907,604)	(394,664)	(404,356)	
(1062,354)	(892,385)	(290,770)	(331,201)	(479,249)	
(159,596)	(1085,780)	(823,851)	(641,1020)	(504,330)	
(218,1008)	(1006,481)	(1080,1002)	(725,687)	(814,552)	
(904,384)	(863,1020)	(794,122)	(655,726)	(299,354)	
(260,1016)	(805,804)	(309,658)	(775,178)	(721,855)	
(802,932)	(587,760)	(1091,1001)	(205,607)	(689,677)	
(643,903)	(1023,460)	(577,314)	(475,1062)	(543,1082)	
(928,164)	(668,157)	(848,1026)	(1097,627)	(711,253)	
(1023,954)	(916,726)	(156,980)	(649,535)	(1065,518)	
(966,566)	(560,1028)	(1016,1008)	(1053,812)	(328,456)	
(866,992)	(1025,792)	(343,1032)	(866,959)	(553,799)	
(1021,163)	(778,653)	(798,817)	(642,933)	(776,987)	
(301,703)	(309,753)	(861,841)	(109,1011)	(370,609)	
(633,422)	(150,367)	(439,653)	(925,217)	(1089,170)	
(1093,582)	(298,253)	(843,735)	(520,644)	(311,1019)	
(768,588)	(1016,114)	(358,279)	(1083,1085)	(796,942)	
(464,179)	(1021,792)	(933,1023)	(755,492)	(215,272)	
(798,172)	(678,289)	(405,427)	(537,202)	(506,592)	
(738,166)	(497,291)	(707,384)	(105,1055)	(609,799)	
(310,832)	(271,281)	(478,735)	(1062,303)	(523,772)	
(708,437)	(696,348)	(579,526)	(944,308)	(108,501)	
(835,452)	(579,671)	(730,839)	(333,127)	(429,706)	
(367,161)	(851,202)	(352,355)	(106,595)	(698,457)	
(567,751)	(525,169)	(1073,723)	(148,734)	(249,1080)	
(964,833)	(172,353)	(731,428)	(276,769)	(1014,408)	
(564,191)	(597,178)	(891,132)	(962,1058)	(434,891)	
(1080,260)	(913,474)	(784,138)	(103,497)	(746,186)	
(393,185)	(978,308)	(1069,135)	(705,631)	(215,640)	
(798,508)	(1092,647)	(316,386)	(869,421)	(822,724)	
(502,480)	(688,1088)	(392,247)	(231,1002)	(1083,973)	
(580,288)	(720,1085)	(413,1023)	(662,741)	(557,838)	
(1059,733)	(430,153)	(254,617)	(387,993)	(498,429)	
(274,210)	(1078,161)	(618,917)	(267,398)	(1074,327)	
(893,168)	(866,978)	(774,268)	(230,290)	(743,1059)	
(120,443)	(592,655)	(1045,1057)	(106,518)	(451,735)	
(691,309)	(896,516)	(209,375)	(511,788)	(307,278)	
(447,667)	(1069,201)	(437,791)	(370,1015)	(1083,102)	
(687,1082)	(305,900)	(101,1040)	(1011,378)	(127,942)	
(690,181)	(397,701)	(888,163)	(369,202)	(1014,107)	
(552,264)	(416,324)	(730,833)	(132,862)	(1061,861)	
(790,969)	(759,978)	(336,267)	(612,1005)	(856,494)	
(151,352)	(371,265)	(539,1036)	(680,117)	(612,129)	
(392,347)	(1009,756)	(437,748)	(886,767)	(103,929)	
(368,599)	(327,548)	(111,555)	(214,199)	(347,464)	
(501,996)	(824,389)	(1067,756)	(1004,1003)	(866,260)	
(115,284)	(915,812)	(424,945)	(196,138)	(431,812)	
(1047,255)	(617,349)	(668,248)	(711,259)	(1017,184)	
(571,121)	(330,388)	(219,332)	(132,487)	(719,314)	
(198,758)	(710,205)	(705,639)	(1043,743)	(775,142)	
(310,184)	(275,1008)	(800,950)	(879,692)	(415,949)	
(604,1006)	(1051,399)	(189,229)	(760,334)	(461,888)	
(581,240)	(890,157)	(812,1065)	(658,330)	(619,159)	
(717,624)	(427,274)	(803,652)	(183,1035)	(1024,415)	
(966,887)	(908,585)	(989,819)	(784,689)	(991,722)	
(566,225)	(454,541)	(320,1056)	(423,451)	(212,687)	
(640,153)	(959,896)	(197,347)	(799,483)	(300,1027)	
(325,243)	(462,209)	(179,905)	(391,621)	(1050,223)	
(575,465)	(968,360)	(1010,770)	(792,430)	(733,816)	
(657,876)	(794,1012)	(900,254)	(766,1074)	(440,165)	
(889,1071)	(168,375)	(349,228)	(440,550)	(698,1068)	
(1084,967)	(994,939)	(730,223)	(585,967)	(536,777)	
(751,795)	(289,131)	(577,281)	(868,674)	(556,768)	
(445,658)	(188,406)	(632,299)	(732,128)	(1028,400)	
(390,984)	(908,274)	(686,159)	(996,340)	(322,499)	
(482,504)	(605,658)	(714,1051)	(684,759)	(815,116)	
(416,380)	(615,1058)	(709,225)	(726,647)	(531,268)	
(125,471)	(915,450)	(245,174)	(140,781)	(222,305)	
(566,455)	(485,771)	(310,1085)	(390,763)	(316,807)	
(462,756)	(1010,1039)	(524,990)	(166,816)	(153,803)	
(321,649)	(389,612)	(225,1034)	(972,220)	(963,638)	
(641,845)	(165,482)	(794,186)	(1004,397)	(780,533)	
(177,505)	(616,218)	(658,281)	(366,212)	(774,418)	
(241,367)	(1032,143)	(860,197)	(1007,399)	(667,876)	
(421,666)	(565,216)	(471,253)	(655,805)	(405,786)	
